recid,NUMERO,TAREA,CATEGORY,SUBCATEGORY,COMPANY,INICIO_FALLA,CIERRE_FALLA,TIEMPO_TOTAL,COUNTRY,TG_REGION,LOCATION_FULL_NAME,OPENED_BY,ASSIGN_DATE,ASSIGNMENT,ASSIGN_DEPT,GRUPO_ASIGNACION,ASSIGNED_TO,BRIEF_DESCRIPTION,PROBLEM_TYPE,PRODUCT_TYPE,INICIO_AFECTACION,FIN_AFECTACION,DESC_FALLA,SEVERITY,TG_CANTIDAD_DSLAM,TG_SEVERIDAD,PROBLEM_STATUS,RESOLVED_GROUP,CLOSED_BY,RESOLUTION_CODE,RES_ANAL_CODE,STATUS,TG_CLIENTEEMPRESARIAL,NOMBRE_WO,INICIO_WO,FIN_WO,CLOSE_TIME,RESOLUCION,TG_CANT_CLIENTES_AFECTADOS,TG_CANTIDAD_CELDAS,Latitud_del_corte_de_FO,Longitud_del_corte_de_FO,Tipo,Falla_de_Fibra_Óptica,Reparación_Principal_FO,Reparación_específica_FO,Tramo_de_FO,Tramo_sin_Documentar
1,F5317831,F5317831-002,DATOS,SWITCH,TELGUA,06/12/2023 12:48:58,10/04/2025 09:03:07,11780.24,Guatemala,OCCIDENTE,JACALTENANGO CELDA,palencia.melvin,06/12/2023 13:48:44,CR - MOVIL RF OPTIMIZACION,WO - CCR GT,WO - UFINET,mario_corado,FUERA DE SERVICIO EQUIPO ASR920 - CELDA JACALTENANGO - 10.87.5.215 & DEPENDENCIAS,CAIDA TOTAL,FUERA DE SERVICIO,06/12/2023 12:48:57,06/12/2023 12:48:57,FUERA DE SERVICIO EQUIPO ASR920 - CELDA JACALTENANGO - 10.87.5.215 & DEPENDENCIAS,3,1,3,Closed,,javier.figueroa,CIERRE ADMINISTRATIVO - AUTORIZADO POR LA GERENCIA DEL NOC,CIERRE ADMINISTRATIVO - AUTORIZADO POR LA GERENCIA DEL NOC,closed,f,,,,10-APR-25,FALTA DE SEGUIMIENTO TIEMPO DE APERTURA ASIGNACIÓN A GRUPOS QUE NO PARTICIPAN EN PROCESO Requerimiento SM: 7466102 TRAMO SANTA ANA HUISTA A CAMOJA,401,5,NO BRINDA UFINET,NO BRINDA UFINET,BACKBONE,SI,2.HILOS FO ROTOS/ MAL ACOMODO DE HILOS EN BANDEJAS / TUBOS H,2.1 INTERVENCION A MUFA O CIERRE FO/NAP/HUB BOX EXISTENTE EN,,
2,F5801814,F5801814-001,LOGISTICA,TRANSMISION,TELGUA,08/11/2024 16:47:01,05/04/2025 16:09:20,3551.37,Guatemala,OCCIDENTE,RETALHULEU UR,siguenza.cristian,04/04/2025 12:03:56,GT - F.O MOVIL,WO - CCR GT,WO - UFINET,mynor.adqui,AGREGADO SINF16 UB282-FD01 DE RETALHULEU MAIN SLOT 6  DIRECCION COATEPEQUE ANILLO 18 FALLADO,EQUIPO OBSOLETO,REPUESTO,08/11/2024 16:46:58,05/04/2025 16:09:18,AGREGADO SINF16 UB282-FD01 DE RETALHULEU MAIN SLOT 6  DIRECCION COATEPEQUE ANILLO 18 FALLADO,4,0,Falla sin Afectación,Closed,GT - F.O MOVIL,gustavo.quezada,DESASTRE NATURAL,FIBRA OPTICA,closed,f,,,,05-APR-25,"FIBRA OPTICA UFINET VIA CORREO: TIK-591634-Z7M4¿ 05/04/2025 03:24 PM ESTIMADO CLIENTE, FAVOR DE VALIDAR ESTADO DE SU SERVICIO CAUSA: CLIENTE/ SOLICITUDES/ CERTIFICACIÓN (POR DEGRADACIÓN) SOLUCIÓN: SE",0,0,N/A,N/A,ACCESO,SI,1.DAÑO / ROBO DE MUFA O CIERRE FO / FAT /HUB BOX / NAP,1.2 CAMBIO E INSTALACION DE MUFA O CIERRE OPTICO/HUB BOX DE,TRAMO NO DOCUMENTADO,IRU FO 58.502 km Coatepeque - Retalhuleu - 4 Hilos¿
3,F5855348,F5855348-002,MOVIL,BTS,TELGUA,19/12/2024 05:17:11,29/01/2025 02:31:53,981.25,Guatemala,OCCIDENTE,WG2849_CHINACA,tmipuser,19/12/2024 05:40:36,GT - F.O MOVIL,WO - CCR GT,WO - CLAROFIBRAOPTICA,thomas.peliz,"RADIOBASE_HUAWEI .""CHINACA_ID_WG2849""",CAIDA TOTAL,BTS FALLA EN EL MEDIO DE TX,19/12/2024 05:05:54,29/01/2025 02:31:52,"ManagedObject: RADIOBASE_HUAWEI .""CHINACA_ID_WG2849""
AddText: Guatemala Sitio 2GY3G Fuera por Transmision, RNC=GTVLL2R,  ---SITIO FUERA POR TRANSMISION WG2849 CRITICIDAD BAJO",1,0,2,Closed,GT - F.O MOVIL,julio.barrera,ACCIDENTE Y OTRAS CAUSAS,FIBRA OPTICA,closed,f,,,,29-JAN-25,"COMENTARIO GENERAL DE CIERRE: SE ENCONTRÓ DAÑO POR SABOTAJE EN EL CABLE, SE PROCEDIÓ A INSTALAR 350 MTS DE CABLE FO12, INSTALACIÓN DE 2 MUDAS 3M, 24 FUSIONES, TRABAJO EN EL LUGAR POR PARTE DE ROMEO AR",1,0,15.316231,-91.437296,ACCESO,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA","3.4 INSTALACION DE CABLE FO AEREO FIG 8, DE 12 A 48 FO",TRAMO NO DOCUMENTADO,HUEHUETENANGO - CHINACA
4,F5868335,,CONMUTACION,IMS_ACCESO,TELGUA,01/01/2025 00:34:32,01/01/2025 10:39:45,10.09,Guatemala,ORIENTE,GUALAN UR,tmipuser,01/01/2025 00:53:43,FRONT OFFICE,WO - CCR GT,,kevino.garcia,GT - CORTE DE FIBRA EN ONTS EN H903GPHF DEL GPON M00_ZGUAGTGU_OLT_GUALAN,CAIDA PARCIAL,INCIDENTE CONMUTACION,01/01/2025 00:18:23,01/01/2025 10:38:07,"GT - CORTE DE FIBRA EN ONTS EN H903GPHF DEL GPON M00_ZGUAGTGU_OLT_GUALAN

Huawei/U2000;7342949;/shelf=0/slot=2/fb=0/domain=UNKNOWN/port=9/highPath=1/lowPath=0
native ProbableCause=The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi),
ProbableCause",2,0,2,Closed,FRONT OFFICE,alexanderf.lopez,INSTALACION DE CABLE DE FIBRA OPTICA,FIBRA OPTICA,closed,f,,,,01-JAN-25,"SE TUVO DISPAROS, SE CORRE RESERVA A 50 METROS SE INSTQLAN UNA MUFA Y SE REALIZA FUSIONES-- VALIDA MAURICIO SANCHEZ DE BO CX INFORMA ELIO ALDANA Y DANI ANDRINO ACCESO TRAMO M00_ZGUAGTGU_OLT_GUALAN LAT",8,0,15.117398,-89.351075,ACCESO,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA",3.2 INSTALACION DE CABLE DE FO DUCTO DE 12 HASTA 72 FO,TRAMO NO DOCUMENTADO,M00_ZGUAGTGU_OLT_GUALAN
5,F5868359,F5868359-004,DATOS,ROUTER,TELGUA,01/01/2025 01:53:39,01/01/2025 13:34:44,11.68,Guatemala,METROPOLITANA,UTATLAN UR,tmipuser,01/01/2025 02:10:37,FRONT OFFICE,WO - CCR GT,,kevino.garcia,GT | Alarma: Link Down | Descripcion: Link Down | Equipo: GNCYGTUTN1C1C06B02EIM2 | Puerto: 50|100GE2/0/0 Interfaz Generica,CAIDA PARCIAL,DESCONFIGURADO,01/01/2025 01:45:07,01/01/2025 13:18:35,"GT | Alarma: Link Down | Descripcion: Link Down | Equipo: GNCYGTUTN1C1C06B02EIM2 | Puerto: 50|100GE2/0/0 Interfaz Generica
Tipo de Equipo: NE40E(V8) - Direccion IP: 10.179.28.17
Causa Probable: The link breaks when the interface changes to down.
Descripcion de Alarma (ESP): Enlace caido
Mnemonico: G",1,0,2,Closed,FRONT OFFICE,alexanderf.lopez,CORRECCION ATENUACION FIBRA OPTICA,FIBRA OPTICA,closed,f,,,,01-JAN-25,SE COMUNICA JOSE ESCOBAR INDICANDO QUE SE REALIZAN LIMPIEZA DE PATCH CORT EN LA CENTRAL EN CONJUNTO CON PERSONAL DE PLANTA INTERNA VALIDA CARLOS GOMEZ DE BO IP TRABAJA GRUPO DE HECTOR QUEDA Y BYRON GA,1,0,14.646311,-90.537505,BACKBONE,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA",3.2 INSTALACION DE CABLE DE FO DUCTO DE 12 HASTA 72 FO,UTATLAN-BETHANIA,
6,F5869199,F5869199-002,MOVIL,BTS,TELGUA,02/01/2025 04:56:36,02/01/2025 16:13:21,11.28,Guatemala,METROPOLITANA,FLORES DEL LAGO BILLBOARD CELDA,palencia.melvin,02/01/2025 08:20:28,FRONT OFFICE,WO - CCR GT,WO - CLAROFIBRAOPTICA,marioa.hernandez,FUERA DE SERVICIO SITIO LG1676 - FLORES_DEL_LAGO_BILLBOARD - 10.111.115.10,CAIDA TOTAL,BTS  CON FALLA,02/01/2025 04:56:35,02/01/2025 16:12:51,FUERA DE SERVICIO SITIO LG1676 - FLORES_DEL_LAGO_BILLBOARD - 10.111.115.10,2,0,2,Closed,FRONT OFFICE,josea.corado,TRABAJOS DE TERCEROS,FIBRA OPTICA,closed,f,,,,02-JAN-25,SE COMUNICA ALEXANDER BOBADILLA QUIEN INDICA QUE SE TENSA CABLE DE 6 HILOS SERVICIO ACTIVO VALIDA DE FRONT OFFICE GUSTAVO HERNANDEZ ATIENDE : CARLOS CASTELLANOS MIGUEL  LIMA  CRECENCIO CANAWI  GERSON,0,1,14.4691242,-90.6379054,ULTIMA MILLA,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA",3.1 INSTALACION DE CABLE DE FO AOTV DE 6 FO,TRAMO NO DOCUMENTADO,*UR AMATITLAN - FLORES DEL LAGO*
7,F5870780,F5870780-003,TRANSMISION,DWDM,TELGUA,03/01/2025 12:46:13,06/01/2025 17:00:59,76.25,Guatemala,ORIENTE,PUERTO BARRIOS UR,tmipuser,03/01/2025 12:50:20,GT - F.O MOVIL,WO - CCR GT,,juan.donis,GT | Alarma: OSC_LOS | Descripcion: Loss of OSC interface input optical power | Equipo: GT_Puerto Barrios | Puerto: 0-Los Amates/Puerto Cortez-6-11AST2-1(RM1/TM1 Dir Los Amates ENLACE FRONTERIZO CRITICO)-OSC:1 Tipo de Equipo: OptiX OSN 9800 - Direccion IP: 10.179.4.67 Causa Probable: OSC_LOS is declared if the input power is lower than the OSC_LOS threshold. Descripcion de Alarma (ESP): Perdida de la potencia optica de entrada de la interfaz OSC Mnemonico: IPBAGTPB,RENDIMIENTO,DWDM SIN PROTECCION,03/01/2025 12:45:27,06/01/2025 17:00:46,GT | Alarma: OSC_LOS | Descripcion: Loss of OSC interface input optical power | Equipo: GT_Puerto Barrios | Puerto: 0-Los Amates/Puerto Cortez-6-11AST2-1(RM1/TM1 Dir Los Amates ENLACE FRONTERIZO CRITICO)-OSC:1 Tipo de Equipo: OptiX OSN 9800 - Direccion IP: 10.179.4.67 Causa Probable: OSC_LOS is decl,1,0,3,Closed,GT - F.O MOVIL,gustavo.quezada,ACCIDENTE Y OTRAS CAUSAS,FIBRA OPTICA,closed,f,,,,06-JAN-25,SE PROCEDE A CIERRE BAJO COMENTARIO ANTERIOR DE GESTOR DE FRONT OFFICE   SE PROCEDE A CIERRE BAJO COMENTARIO ANTERIOR DE GESTOR DE FRONT OFFICE COMENTARIO DE FO PROPORCIONADO ELMER MATTA TEL: 58260595,0,0,NO BRINDA PERSONAL FO,NO BRINDA PERSONAL FO,BACKBONE,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA",3.2 INSTALACION DE CABLE DE FO DUCTO DE 12 HASTA 72 FO,TRAMO NO DOCUMENTADO,PUERTO BARRIOS -- LOS AMATES
8,F5871737,F5871737-003,MOVIL,BTS,TELGUA,04/01/2025 07:42:41,04/01/2025 15:24:50,7.7,Guatemala,OCCIDENTE,WG2690_CANTON_CHITA,tmipuser,04/01/2025 07:50:39,FRONT OFFICE,WO - CCR GT,,juan.donis,"RADIOBASE_HUAWEI .""WG2690_CANTON_CHITA_ID_WG2690""",CAIDA PARCIAL,SECTOR O RADIO CON DANO,04/01/2025 07:27:40,04/01/2025 15:24:46,"ManagedObject: RADIOBASE_HUAWEI .""WG2690_CANTON_CHITA_ID_WG2690""
AddText: Guatemala ---NodeB 3G FUERA, SECTORES FUERA DE SERVICIO EN: WG2690",1,0,2,Closed,FRONT OFFICE,miguel.rosales,ACCIDENTE Y OTRAS CAUSAS,FIBRA OPTICA,closed,f,,,,04-JAN-25,"COMENTARIO GENERAL DE CIERRE: SE ENCONTRÓ DAÑO PROVOCADO POR MORDEDURAS DE ARDILLA EN CABLE, SE JALO RESERVA DE 3 POSTES Y SE REALIZÓ UN EMPALME DE 12 FUSIONES, SE UTILIZO MUFA COMMSCOPE NUEVA, 12 TER",0,1,14.633392,-91.501507,ULTIMA MILLA,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA","3.4 INSTALACION DE CABLE FO AEREO FIG 8, DE 12 A 48 FO",TRAMO NO DOCUMENTADO,CANTON CHITA - SAN FRANCISCO ZAPOTITLAN
9,F5872496,F5872496-003,DATOS,ROUTER,TELGUA,05/01/2025 07:17:34,05/01/2025 15:48:25,8.51,Guatemala,OCCIDENTE,GRANADA CELDA,tmipuser,05/01/2025 10:39:26,GT - F.O MOVIL,WO - CCR GT,,bryan.sutuj,GT | Alarma: Physical Port Down | Descripcion: Physical Port Down(Entity) | Equipo: RCHAGTGRN1D1A02A34ENM1 | Puerto: 25GE0/2/23 Interfaz Generica,CAIDA TOTAL,DESCONFIGURADO,05/01/2025 07:16:12,05/01/2025 15:30:21,"GT | Alarma: Physical Port Down | Descripcion: Physical Port Down(Entity) | Equipo: RCHAGTGRN1D1A02A34ENM1 | Puerto: 25GE0/2/23 Interfaz Generica
Tipo de Equipo: ATN910D - Direccion IP: 10.72.63.122
Causa Probable: The physical interface was Down.
Descripcion de Alarma (ESP): Puerto fisico caido
Mne",1,0,2,Closed,GT - F.O MOVIL,diego.taguite,REPARACION O REPOSICION DE HARDWARE,FIBRA OPTICA,closed,f,,,,05-JAN-25,"SE COMUNICA CARLOS MAZARIEGOS E INFORMA QUE SE ENCONTRO DAÑO OCASIONADO POR INDUCCION ELECTRICA, SE ISNTALACA 120 METROS DE CABLE DE 12 FIBRAS Y SE REALIZARON 2 EMPALMES, SE HICIERON 24 FUSIONES EN TO",0,21,14.40061,-91.84252,BACKBONE,SI,"3.CABLE FO CORTADO, DAÑO O ESTIRAMIENTO DEL CABLE FO TRONCA","3.4 INSTALACION DE CABLE FO AEREO FIG 8, DE 12 A 48 FO",TRAMO NO DOCUMENTADO,LA TORTUGA-LA GRANADA
10,F5872542,F5872542-003,MOVIL,BSC,TELGUA,05/01/2025 07:59:49,05/01/2025 15:19:32,7.33,Guatemala,CENTRAL,WG3446_SANSAYO,tmipuser,05/01/2025 08:28:50,FRONT OFFICE,WO - CCR GT,,marioa.hernandez,Huawei_U2020_Mobile .gt.mx.u2020_movil_alm Managed_Element 8530,CAIDA TOTAL,BSC FALLA DE HARDWARE,05/01/2025 07:58:24,05/01/2025 15:18:09,"Guatemala Sitio 4G-LTE FUERA DE SERVICIO Enodeb Name: LG3446 - SANSAYO Enodeb IP: 10.111.81.18
NeType: MME| NeLocation: Centro| vendor: Huawei| neName: MMEGT01| alarmName: S1ap Link Down| alarmLocation: SubrackNo=0, SlotNo=10, ProcType=SGP, ProcNo=5, MCC=704, MNC=01, EnodeBType=MACRO, EnodeBCode=344",1,0,2,Closed,FRONT OFFICE,josea.corado,RESTABLECIMIENTO DE TRANSMISION,TRANSMISION,closed,f,,,,05-JAN-25,"LEONARDO AQUINO INDICA QUE SE ENCONTRO MACHETAZO EN CABLE, SE JALA RESERVA Y SE REALIZA UN EMPALME DE 12 FUSIONES, SE TRABAJO CON HENRY BETANCOURTH JUAN LUIS CARDONA Y SU PERSONA",0,2,14.6669,-89.9551,ULTIMA MILLA,SI,2.HILOS FO ROTOS/ MAL ACOMODO DE HILOS EN BANDEJAS / TUBOS H,2.1 INTERVENCION A MUFA O CIERRE FO/NAP/HUB BOX EXISTENTE EN,TRAMO NO DOCUMENTADO,JALAPA-SANSAYO
